GlyNet	Name	IUPAC	SMILES
37	CFG-37-Sp0	Gal4,6OS2(β1-4)GlcNAc(β-Sp0	OS(=O)(=O)OC[C@@H](O1)[C@H](OS(=O)(=O)O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
38	CFG-38-Sp8	Gal4OS(β1-4)GlcNAc(β-Sp8	OC[C@@H](O1)[C@H](OS(=O)(=O)O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCCN-C(=O)CCCOC
39	CFG-39-Sp8	Man6OP(α-Sp8	OP(=O)(O)OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H](O)[C@H]1-OCCCN-C(=O)CCCOC
40	CFG-40-Sp0	Gal6OS(β1-4)Glc(β-Sp0	OS(=O)(=O)OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](O)[C@@H]1-OCCN-C(=O)CCCOC
41	CFG-40-Sp8	Gal6OS(β1-4)Glc(β-Sp8	OS(=O)(=O)OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](O)[C@@H]1-OCCCN-C(=O)CCCOC
42	CFG-41-Sp8	Gal6OS(β1-4)GlcNAc(β-Sp8	OS(=O)(=O)OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCCN-C(=O)CCCOC
43	CFG-42-Sp8	Gal6OS(β1-4)Glc6OS(β-Sp8	OS(=O)(=O)OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)COS(=O)(=O)O)[C@H](O)[C@@H](O)[C@@H]1-OCCCN-C(=O)CCCOC
44	CFG-43-Sp8	Neu5Ac(α2-3)Gal6OS(β1-4)GlcNAc(β-Sp8	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@@H]([C@@H](O)[C@H](O1)COS(=O)(=O)O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCCN-C(=O)CCCOC
45	CFG-44-Sp8	GlcNAc6OS(β-Sp8	OS(=O)(=O)OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCCN-C(=O)CCCOC
46	CFG-48-Sp12	Man(α1-6)[Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12	OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H](O)[C@H]1-O-C[C@@H](O1)[C@@H](O)[C@H](-O-[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O2)CO)[C@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-NC(=O)C[C@@H](C(=O)O)N-C(=O)CCCOC
