GlyNet	Name	IUPAC	SMILES
265	CFG-269-Sp0	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
266	CFG-270-Sp0	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-3)Gal(β1-4)GlcNAc(β-Sp0	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
267	CFG-271-Sp0	Neu5Ac(α2-6)Gal(β1-4)Glc(β-Sp0	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](O)[C@@H]1-OCCN-C(=O)CCCOC
268	CFG-271-Sp8	Neu5Ac(α2-6)Gal(β1-4)Glc(β-Sp8	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](O)[C@@H]1-OCCCN-C(=O)CCCOC
269	CFG-272-Sp8	Neu5Ac(α2-6)Gal(β-Sp8	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-OCCCN-C(=O)CCCOC
270	CFG-273-Sp8	Neu5Ac(α2-8)Neu5Ac(α-Sp8	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@H](CO)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-OCCCN-C(=O)CCCOC
271	CFG-274-Sp0	Neu5Ac(α2-8)Neu5Ac(α2-3)Gal(β1-4)Glc(β-Sp0	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@H](CO)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](O)[C@@H]1-OCCN-C(=O)CCCOC
272	CFG-275-Sp0	Gal(β1-3)[Fuc(α1-4)]GlcNAc(β1-3)Gal(β1-3)[Fuc(α1-4)]GlcNAc(β-Sp0	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
273	CFG-277-Sp8	Neu5Ac(β2-6)GalNAc(α-Sp8	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@]1(C(=O)O)-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](NC(=O)C)[C@H]1-OCCCN-C(=O)CCCOC
274	CFG-278-Sp8	Neu5Ac(β2-6)Gal(β1-4)GlcNAc(β-Sp8	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@]1(C(=O)O)-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCCN-C(=O)CCCOC
275	CFG-280-Sp0	Neu5Gc(α2-3)Gal(β1-3)[Fuc(α1-4)]GlcNAc(β-Sp0	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)CO)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
276	CFG-281-Sp0	Neu5Gc(α2-3)Gal(β1-3)GlcNAc(β-Sp0	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)CO)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](O)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
277	CFG-282-Sp0	Neu5Gc(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β-Sp0	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)CO)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
278	CFG-283-Sp0	Neu5Gc(α2-3)Gal(β1-4)GlcNAc(β-Sp0	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)CO)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
279	CFG-284-Sp0	Neu5Gc(α2-3)Gal(β1-4)Glc(β-Sp0	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)CO)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](O)[C@@H]1-OCCN-C(=O)CCCOC
280	CFG-285-Sp0	Neu5Gc(α2-6)GalNAc(α-Sp0	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)CO)[C@@H](O)C[C@@]1(C(=O)O)-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](NC(=O)C)[C@H]1-OCCN-C(=O)CCCOC
281	CFG-286-Sp0	Neu5Gc(α2-6)Gal(β1-4)GlcNAc(β-Sp0	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)CO)[C@@H](O)C[C@@]1(C(=O)O)-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
282	CFG-287-Sp8	Neu5Gc(α-Sp8	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)CO)[C@@H](O)C[C@]1(O)C(=O)-OCCCN-C(=O)CCCOC
283	CFG-295-Sp14	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-6)[Gal(β1-3)]GalNAc(α-Sp14	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-C[C@@H](O1)[C@H](O)[C@H](-O-[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O2)CO)[C@@H](NC(=O)C)[C@H]1-O[C@H](C)[C@@H](C(=O)O)N-C(=O)CCCOC
284	CFG-297-Sp0	Gal(β1-3)GlcNAc(β1-3)Gal(β1-3)GlcNAc(β-Sp0	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](O)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](O)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
285	CFG-298-Sp0	Gal(β1-4)[Fuc(α1-3)]GlcNAc6OS(β-Sp0	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)COS(=O)(=O)O)[C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
286	CFG-299-Sp0	Gal(β1-4)[Fuc(α1-3)]Glc6OS(β-Sp0	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)COS(=O)(=O)O)[C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@@H](O)[C@@H]1-OCCN-C(=O)CCCOC
287	CFG-300-Sp0	Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-3)Gal(β1-3)[Fuc(α1-4)]GlcNAc(β-Sp0	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
288	CFG-301-Sp0	Gal(β1-4)GlcNAc(β1-3)Gal(β1-3)GlcNAc(β-Sp0	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](O)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
289	CFG-302-Sp0	Neu5Ac(α2-3)Gal(β1-3)GlcNAc(β1-3)Gal(β1-3)GlcNAc(β-Sp0	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](O)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](O)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
290	CFG-303-Sp0	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-3)Gal(β1-3)GlcNAc(β-Sp0	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](O)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
291	CFG-305-Sp0	Gal3,4OS2(β1-4)GlcNAc(β-Sp0	OC[C@@H](O1)[C@H](OS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
292	CFG-306-Sp0	Gal6OS(β1-4)GlcNAc6OS(β-Sp0	OS(=O)(=O)OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)COS(=O)(=O)O)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
293	CFG-307-Sp10	Glc6OP(β-Sp10	OP(=O)(O)OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1-NC(=O)CN-C(=O)CCCOC
294	CFG-311-Sp14	Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc(β1-6)[Gal(β1-3)]GalNAc(α-Sp14	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](-O-[C@H]2[C@@H](O)[C@H](O)[C@H](O)[C@@H](O2)C)[C@@H](NC(=O)C)[C@@H]1-O-C[C@@H](O1)[C@H](O)[C@H](-O-[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O2)CO)[C@@H](NC(=O)C)[C@H]1-O[C@H](C)[C@@H](C(=O)O)N-C(=O)CCCOC
295	CFG-312-Sp8	Gal(β1-3)Gal(β1-4)GlcNAc(β-Sp8	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCCN-C(=O)CCCOC
296	CFG-313-Sp12	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O)[C@H](O1)CO)[C@H]1-O-C[C@@H](O1)[C@@H](O)[C@H](-O-[C@@H]2[C@H]([C@@H](O)[C@H](O)[C@H](O2)CO)-O-[C@H]2[C@H](NC(=O)C)[C@@H](O)[C@@H]([C@H](O2)CO)-O-[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O2)CO)[C@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-NC(=O)C[C@@H](C(=O)O)N-C(=O)CCCOC
297	CFG-314-Sp0	Gal(β1-4)GlcNAc(β1-6)[Gal(β1-4)GlcNAc(β1-3)]Gal(β1-4)GlcNAc(-Sp0	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-C[C@@H](O1)[C@H](O)[C@H](-O-[C@H]2[C@H](NC(=O)C)[C@@H](O)[C@@H]([C@H](O2)CO)-O-[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O2)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)C1-OCCN-C(=O)CCCOC
298	CFG-315-Sp0	GlcNAc(β1-6)[Gal(β1-4)GlcNAc(β1-3)]Gal(β1-4)GlcNAc(-Sp0	OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-C[C@@H](O1)[C@H](O)[C@H](-O-[C@H]2[C@H](NC(=O)C)[C@@H](O)[C@@H]([C@H](O2)CO)-O-[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O2)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)C1-OCCN-C(=O)CCCOC
299	CFG-316-Sp0	Gal(β1-4)GlcNAc(α1-6)Gal(β1-4)GlcNAc(β-Sp0	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@H]1-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
300	CFG-317-Sp0	Gal(β1-4)GlcNAc(β1-6)Gal(β1-4)GlcNAc(β-Sp0	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-OCCN-C(=O)CCCOC
301	CFG-320-Sp8	GalNAc(β1-3)Gal(β-Sp8	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-OCCCN-C(=O)CCCOC
302	CFG-321-Sp8	GlcA(β1-3)GlcNAc(β-Sp8	O1[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@@H]([C@H](O)[C@H](O1)CO)[C@@H](NC(=O)C)[C@@H]1-OCCCN-C(=O)CCCOC
303	CFG-322-Sp12	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O)[C@H](O1)CO)[C@H]1-O-C[C@@H](O1)[C@@H](O)[C@H](-O-[C@@H]2[C@H]([C@@H](O)[C@H](O)[C@H](O2)CO)-O-[C@H]2[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@H](O2)CO)[C@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-NC(=O)C[C@@H](C(=O)O)N-C(=O)CCCOC
304	CFG-324-Sp10	GlcNAc(β1-3)Man(-Sp10	OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@H](O)[C@H](O1)CO)[C@H](O)C1-NC(=O)CN-C(=O)CCCOC
305	CFG-325-Sp10	GlcNAc(β1-4)GlcNAc(β-Sp10	OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-NC(=O)CN-C(=O)CCCOC
306	CFG-325-Sp12	GlcNAc(β1-4)GlcNAc(β-Sp12	OC[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-NC(=O)C[C@@H](C(=O)O)N-C(=O)CCCOC
307	CFG-329-Sp10	Man(α1-6)Man(β-Sp10	OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H](O)[C@H]1-O-C[C@@H](O1)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1-NC(=O)CN-C(=O)CCCOC
308	CFG-330-Sp10	Man(α1-6)[Man(α1-3)]Man(α1-6)[Man(α1-3)]Man(β-Sp10	OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H](O)[C@H]1-O-C[C@@H](O1)[C@@H](O)[C@H](-O-[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O2)CO)[C@H](O)[C@H]1-O-C[C@@H](O1)[C@@H](O)[C@H](-O-[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O2)CO)[C@H](O)[C@@H]1-NC(=O)CN-C(=O)CCCOC
309	CFG-331-Sp9	Man(α1-2)Man(α1-6)[Man(α1-3)]Man(α1-6)[Man(α1-2)Man(α1-2)Man(α1-3)]Man(α-Sp9	OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H](O)[C@H]1-O-[C@@H]([C@@H](O)[C@H](O)[C@H](O1)CO)[C@H]1-O-C[C@@H](O1)[C@@H](O)[C@H](-O-[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O2)CO)[C@H](O)[C@H]1-O-C[C@@H](O1)[C@@H](O)[C@H](-O-[C@@H]2[C@H]([C@@H](O)[C@H](O)[C@H](O2)CO)-O-[C@@H]2[C@H]([C@@H](O)[C@H](O)[C@H](O2)CO)-O-[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O2)CO)[C@H](O)[C@H]1-OCCCCCN-C(=O)CCCOC
310	CFG-332-Sp9	Man(α1-2)Man(α1-6)[Man(α1-2)Man(α1-3)]Man(α1-6)[Man(α1-2)Man(α1-2)Man(α1-3)]Man(α-Sp9	OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H](O)[C@H]1-O-[C@@H]([C@@H](O)[C@H](O)[C@H](O1)CO)[C@H]1-O-C[C@@H](O1)[C@@H](O)[C@H](-O-[C@@H]2[C@H]([C@@H](O)[C@H](O)[C@H](O2)CO)-O-[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O2)CO)[C@H](O)[C@H]1-O-C[C@@H](O1)[C@@H](O)[C@H](-O-[C@@H]2[C@H]([C@@H](O)[C@H](O)[C@H](O2)CO)-O-[C@@H]2[C@H]([C@@H](O)[C@H](O)[C@H](O2)CO)-O-[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O2)CO)[C@H](O)[C@H]1-OCCCCCN-C(=O)CCCOC
311	CFG-333-Sp14	Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-6)[Neu5Ac(α2-3)Gal(β1-3)]GalNAc(α-Sp14	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@@H]([C@@H](O)[C@H](O1)CO)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-C[C@@H](O1)[C@H](O)[C@H](-O-[C@H]2[C@H](O)[C@H]([C@@H](O)[C@H](O2)CO)-O-[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(=O)C)[C@@H](O2)[C@H](O)[C@H](O)CO)[C@@H](NC(=O)C)[C@H]1-O[C@H](C)[C@@H](C(=O)O)N-C(=O)CCCOC
312	CFG-336-Sp12	Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Neu5Ac(α2-3)Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-C[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O)[C@H](O1)CO)[C@H]1-O-C[C@@H](O1)[C@@H](O)[C@H](-O-[C@@H]2[C@H]([C@@H](O)[C@H](O)[C@H](O2)CO)-O-[C@H]2[C@H](NC(=O)C)[C@@H](O)[C@@H]([C@H](O2)CO)-O-[C@H]2[C@H](O)[C@H]([C@@H](O)[C@H](O2)CO)-O-[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(=O)C)[C@@H](O2)[C@H](O)[C@H](O)CO)[C@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-NC(=O)C[C@@H](C(=O)O)N-C(=O)CCCOC
313	CFG-337-Sp12	Gal(β1-4)GlcNAc(β1-2)Man(α1-6)[Neu5Ac(α2-6)Gal(β1-4)GlcNAc(β1-2)Man(α1-3)]Man(β1-4)GlcNAc(β1-4)GlcNAc(β-Sp12	OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@@H]([C@@H](O)[C@H](O)[C@H](O1)CO)[C@H]1-O-C[C@@H](O1)[C@@H](O)[C@H](-O-[C@@H]2[C@H]([C@@H](O)[C@H](O)[C@H](O2)CO)-O-[C@H]2[C@H](NC(=O)C)[C@@H](O)[C@@H]([C@H](O2)CO)-O-[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O2)C-O-[C@]2(C(=O)O)C[C@H](O)[C@@H](NC(=O)C)[C@@H](O2)[C@H](O)[C@H](O)CO)[C@H](O)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-O-[C@H]([C@H](O1)CO)[C@H](O)[C@@H](NC(=O)C)[C@@H]1-NC(=O)C[C@@H](C(=O)O)N-C(=O)CCCOC
314	CFG-340-Sp17	Neu5Ac(α2-8)Neu5Ac(β-Sp17	OC[C@@H](O)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@@]1(C(=O)O)-O-[C@H](CO)[C@@H](O)[C@H](O1)[C@H](NC(=O)C)[C@@H](O)C[C@]1(C(=O)O)-OCc1ccc(cc1)N-C(=O)CCCOC
