SampleNum	GroupNum	objId	Concentration
439	111	1004854	0.2
440	111	1004841	2.0
441	112	1004860	0.02
442	112	1004858	0.2
443	112	1004857	2.0
444	113	1004863	0.2
445	113	1004861	2.0
446	113	1004859	20.0
447	114	1005107	200.0
448	114	1005108	200.0
449	114	1005109	500.0
450	115	1005132	2.0
451	115	1005131	20.0
452	115	1005130	200.0
453	116	1005218	2.0
454	116	1005214	20.0
455	116	1005211	200.0
456	117	1005392	5.0
457	117	1005387	50.0
458	117	1005394	200.0
459	118	1005399	2.0
460	118	1005398	20.0
461	118	1005396	200.0
462	119	1005425	2.0
463	119	1005424	10.0
464	119	1005423	50.0
465	120	1005434	0.1
466	120	1005433	1.0
467	120	1005431	10.0
468	121	1005437	2.0
469	121	1005435	10.0
470	121	1005432	50.0
471	122	1005506	5.0
472	122	1005507	5.0
473	122	1006422	10.0
474	123	1005547	0.2
475	123	1005548	2.0
476	123	1005546	200.0
477	124	1005556	1.0
478	124	1005555	10.0
479	124	1005554	90.0
480	125	1005588	0.2
481	125	1005587	2.0
482	125	1005585	200.0
483	126	1005607	1.0
484	126	1005606	5.0
485	126	1005608	20.0
486	127	1005690	0.2
487	127	1005691	2.0
488	127	1005693	200.0
489	128	1005730	2.0
490	128	1005731	20.0
491	128	1005727	200.0
492	129	1005732	2.0
493	129	1005733	20.0
494	129	1005729	200.0
495	130	1005745	0.2
496	130	1005746	2.0
497	130	1005747	200.0
498	131	1005748	0.2
499	131	1005749	2.0
500	131	1005750	200.0
501	132	1005765	2.0
502	132	1005764	20.0
503	132	1005763	200.0
504	133	1005800	2.0
505	133	1005798	20.0
506	133	1005796	200.0
507	134	1005856	0.5
508	134	1005855	5.0
509	134	1005854	50.0
510	135	1005980	0.2
511	135	1005981	2.0
512	135	1005982	200.0
513	136	1006033	0.2
514	136	1006034	2.0
515	136	1006035	20.0
516	137	1006061	2.0
517	137	1006060	20.0
518	137	1006059	200.0
519	138	1006086	5.0
520	138	1006085	50.0
521	138	1006084	200.0
522	139	1006120	20.0
523	139	1006119	50.0
524	139	1006118	200.0
525	140	1006168	2.0
526	140	1006169	20.0
527	140	1006182	200.0
528	141	1006170	2.0
529	141	1006171	20.0
530	141	1006183	200.0
531	142	1006172	2.0
532	142	1006173	20.0
533	142	1006184	200.0
534	143	1006174	2.0
535	143	1006175	20.0
536	143	1006185	200.0
537	144	1006176	2.0
538	144	1006177	20.0
539	144	1006180	200.0
540	145	1006305	10.0
541	145	1006304	50.0
542	145	1006302	200.0
543	146	1006332	2.0
544	146	1006331	20.0
545	146	1006330	200.0
546	147	1006340	10.0
547	147	1006339	50.0
548	147	1006338	200.0
